left side:amod
hand side:compound
side curri:obl
rewrit fake:advcl
revers method:amod
method rewrit:obj
closur rewrit:obj
closur method:conj
function languag:amod
languag support:nsubj
support fake:conj
curri support:xcomp
arbitrari index:amod
index curri:obl
rcurri method:compound
halver assert:obj
ncurri method:compound
middl paramet:amod
paramet curri:obj
argument method:compound
method paramet:nmod
middl param:compound
param curri:dep
util method:compound
method param:nmod
object key:compound
key list:appos
compar list:appos
collect cat searcher:dep
cat searcher result:parataxis
list cat searcher:dep
compar list:appos
