idea similar:nsubj
exist annot:amod
great annot:amod
annot similar:obl
differ similar:conj
concept differ:obl
field appli:obl
appli similar:parataxis
method appli:obl
provid appli:xcomp
wider field:amod
field provid:obj
appli elimin:advcl
getter appli:obl
serv getter:acl
altern serv:obl
appli getter:acl
appli serv:conj
method appli:obl
heavi refactor:amod
situat refactor:nmod
user add:nsubj
annot add:obj
method add:obl
work suggest:acl
null result:obj
result return:ccomp
cach result:compound
result extend:obl
method result:nmod
depend argument:case
argument extend:advcl
topic extend:conj
discuss topic:nmod
