class consist:nsubj
static method:compound
method consist:obl
oper method:acl
return interfac:nsubj
interfac consist:conj
interfac chang:obj
closeabl interfac:amod
interfac chang:obl
closeabl iter:amod
closeabl spliter:amod
close spliter:acl
iter close:obj
spliter close:nsubj
closeabl iter:amod
chang iter:acl
spliter size:compound
size chang:obl
approxim size:amod
size chang:obj
iter size:nmod
characterist pass:obj
characterist type:nsubj
spliter characterist:nmod
defin interfac:amod
spliter defin:obl
interfac spliter:nmod
type pass:xcomp
spliter iter:conj
spliter iter:dep
iter close:obj
closeabl spliter:amod
spliter creat:obj
spliter creat:obl
close call:nsubj
wrap spliter:acl
closeabl spliter:amod
spliter type:nmod
closeabl spliter:amod
spliter creat:obj
close stream:csubj
stream close:obj
stream close:conj
stream close:advcl
chang stream:advcl
closeabl spliter:amod
spliter chang:obl
type chang:obj
spliter type:nmod
close spliter:acl
close creat:ccomp
stream close:obj
closeabl iter:amod
iter creat:obj
close creat:ccomp
stream close:obj
stream creat:ccomp
stream close:conj
chang stream:advcl
closeabl iter:amod
iter chang:obl
type chang:obj
stream type:nmod
iter close:obj
stream close:obj
closeabl iter:amod
iter creat:obj
iter creat:obl
close call:nsubj
wrap iter:acl
closeabl iter:amod
type iter:dep
iter type:nmod
stream creat:obj
close creat:ccomp
spliter close:obj
parallel spliter:acl
return stream:amod
stream parallel:nsubj
type parallel:dep
stream type:nmod
stream creat:obj
close pass:advcl
iter close:obj
parallel close:xcomp
return stream:amod
stream parallel:nsubj
size close:xcomp
iter size:nmod
pass creat:ccomp
iter characterist:nmod
stream type:nmod
