cach status:nmod
status track:nmod
member track:dep
current pend:amod
pend consist:obl
consist hash:amod
hash member:appos
status rebal:obj
joiner member:nsubj
member true:dep
fals member:amod
leaver member:nsubj
member true:dep
fals member:amod
member list:compound
list chang:nsubj
chang true:dep
fals chang:xcomp
member list:compound
list updat:nsubj
updat call:advcl
rebal confirm:nsubj
rebal confirm:nsubj
confirm updat:advcl
confirm updat:advcl
updat confirm:obl
fals updat:amod
rebal confirm:nsubj
member confirm:nsubj
