transport layer:compound
layer unmarshal:nsubj
request unmarshal:obj
cach marshal:nmod
array encod:nsubj
compon type:compound
type array:compound
compon array:compound
type array:compound
info array:compound
array length:compound
length flag:dep
type element:compound
element length:dep
type element:dep
info type:dep
array element:compound
element length:dep
depend ssncieee:acl
type ssncieee:dep
byte encod:xcomp
type depend:obj
flag present:nsubj
element type:compound
type eee:parataxis
present encod:parataxis
set present:advcl
case preced:obl
array element:compound
element preced:nsubj
preced common:ccomp
instanc identifi:compound
type identifi:compound
identifi preced:obl
element common:obl
multidimension array:amod
array support:nsubj
atm support:obj
