storag type set:obj
determin set:advcl
data store:nsubj
store determin:ccomp
storag type:compound
type storag type:obj
data type:nmod
configur builder:compound
builder data:dep
maximum size:amod
size defin:obj
evict occur:nsubj
occur defin:advcl
size detail:nmod
set evict:csubj
evict type:compound
type set:obj
entri count:obj
number exceed:nsubj
entri number:nmod
exceed evict:advcl
memori evict:nsubj
entri memori:nmod
evict exceed:ccomp
approxim size:amod
combin size:amod
size exceed:nsubj
valu size:nmod
exceed evict:advcl
cach size:compound
size guarante:nsubj
guarante exceed:ccomp
exceed guarante:xcomp
upper limit:amod
limit exceed:obj
max entri:compound
evict natur:nmod
maximum number:amod
entri number:nmod
configur set:compound
defin heap:acl
address pointer:compound
address pointer:compound
pointer write:nsubj
perform improv:obj
write perform:acl
oper write:obj
