higher wait:advcl
wait task:dep
node wait:obl
receiv wait:xcomp
transact data:compound
data receiv:obj
chang retri:advcl
command execut:nmod
execut chang:obl
command retri:obj
replic origin:dep
cach configur:nsubj
configur signal:advcl
asynchron replic:amod
replic configur:obl
owner signal:nsubj
origin signal:obl
special process:amod
process requir:nsubj
transact command:compound
command requir:obl
write command:compound
command retri:obl
command retri:obj
topolog chang:nsubj
chang retri:advcl
origin flag:nmod
flag retri:obj
flag retri:obj
