global registri:amod
compon registri:compound
share compon:amod
compon store:nsubj
store registri:acl
shut hook:xcomp
cach shut:obj
jvm exit:compound
exit shut:advcl
shutdown set:compound
hook set:compound
call set:acl
shutdown hook:compound
hook call:obl
set track:obj
creat cach:amod
cach set:nmod
order cach:nmod
remov easi:xcomp
cach remov:obj
remot node:amod
node remov:obl
instanc creat:obj
compon registri:compound
registri instanc:nmod
configur regist:nsubj
pass configur:acl
creat configur:acl
cach remov:obj
return remov:advcl
true return:xcomp
cach remov:nsubj
remov return:advcl
