interceptor write:nsubj
distribut cach:amod
support cach:acl
concurr support:xcomp
command acquir:nsubj
lock acquir:obj
chang appli:obj
return appli:obj
return chang:conj
lock acquisit:compound
result appli:obj
releas appli:conj
lock releas:obj
return appli:conj
result note:nsubj
oper result:nmod
note return:ccomp
introduc behav:advcl
addit rpc:amod
rpc introduc:iobj
behav note:ccomp
consist hash:amod
hash awar:obl
awar client:amod
hotrod client:compound
client behav:obl
connect client:acl
lock owner:compound
owner connect:obl
