current algorithm:amod
network messag:nmod
worst case:amod
case network:dep
happend network:acl
origin owner:nsubj
primari owner:amod
primari owner:amod
backup owner:dep
backup owner:nsubj
primari owner:amod
ack owner:dep
primari owner:amod
owner repli:dep
origin repli:dep
algorithm improv:nsubj
origin owner:nsubj
primari owner:amod
primari owner:amod
backup owner:dep
primari owner:amod
origin parallel:nmod
parallel owner:dep
backup owner:nsubj
origin owner:amod
backup primari:dep
primari origin:conj
primari owner:amod
ack owner:dep
main flow:amod
primari origin:obl
backup primari:dep
origin backup:dep
