imho point:nsubj
nice point:amod
spi plug:compound
plug nice:dep
set extend:obj
command set:nmod
app creat:nsubj
extens command creat:obj
handler pass:obl
applic regist:nsubj
notif vehicl:compound
bit vehicl:acl
hack bit:nmod
similar solut:amod
solut implement:obj
case ownership:nsubj
http ownership:amod
session ownership:compound
brian stansberri:compound
stansberri ownership:obl
extens command:compound
command send:obj
request send:xcomp
ownership request:obj
servlet spec:compound
spec requir:compound
server requir:acl
time access:compound
session access:dep
ejb spec:compound
handl don:ccomp
distribut lock:amod
distribut lock:amod
request acquir:nsubj
subsequ request:amod
server request:nmod
local lock:amod
cluster wide:dep
wide oper:amod
session oper:nmod
