hot rod client:compound
client support:nsubj
cach support:obl
asymmetr cluster:amod
consist hash:amod
primari owner:amod
key owner:nmod
cach key:nmod
cach owner:nmod
symmetr cluster:amod
replic distribut:conj
cach distribut:obj
send order:acl
oper send:obj
correct owner:amod
owner send:obl
hot rod client:compound
cach limit:compound
predefinit limit:compound
limit revisit:obj
cach server:compound
server revisit:obl
primari reason:amod
infinispan server:compound
server requir:nsubj
requir reason:dep
predefin cach:amod
cach requir:obj
start requir:xcomp
startup start:obl
undefin cach:amod
concurr startup:amod
cach startup:compound
startup result:nsubj
result solv:ccomp
npe result:obl
day solv:obl
deal issu:acl
asymmetr cluster:amod
cluster deal:obl
issu resolv:nsubj
resolv revisit:advcl
limit revisit:obj
support add:obj
segment base:obl
hot rod protocol:compound
version chang:obl
virtual node:amod
node chang:obl
segment base:obl
base node:nmod
stay chang:conj
translat imperfect:nsubj
primari owner:amod
owner comput:obj
number slower:obl
segment increas:compound
increas number:nmod
server perform:compound
perform stay:nsubj
default factori:compound
fix good:advcl
sync consist hash factori good:nsubj
default good:xcomp
number variat:nmod
segment number:nmod
node segment:nmod
segment node:dep
purpos accept:obl
major advantag:amod
schf advantag:nmod
cach member:compound
member depend:obl
order depend:obl
join order:acl
er expect:nsubj
key expect:obj
map expect:xcomp
node map:obl
cach node:nmod
schf downsid:nmod
test downsid:acl
segment ownership:compound
ownership differ:nsubj
test run:compound
run differ:obl
base run:acl
random address:amod
address base:obl
assign address:acl
node assign:obl
depend test:acl
key ownership:amod
ownership depend:obl
number compar:nsubj
segment number:nmod
move segment:acl
schf move:obl
compar verifi:ccomp
number compar:obl
segment number:nmod
move segment:acl
default consist hash factori move:obl
index affin:compound
support affin:dep
