remot status:amod
thread status:compound
pool status:compound
status expos:obj
group probe:compound
probe expos:obl
current size:amod
pool size:compound
current pool:amod
pool size:compound
aliv time:amod
min thread:compound
thread size:nsubj
minimum thread:amod
thread size:compound
pool size:compound
configur size:acl
activ thread:amod
thread number:nsubj
current number:amod
activ number:amod
thread number:nmod
queue size:compound
current queue:amod
queue size:compound
max thread:compound
thread size:nsubj
maximum thread:amod
thread size:compound
pool size:compound
configur size:acl
pool size:compound
size largest:dep
largest pool:amod
thread pool:compound
pool size:nmod
