tim fox:compound
set imagin:ccomp
valu set:obj
cach set:obl
valu set:nsubj
cach set:obl
node replic:obl
redund guarante:compound
high avail:amod
avail guarante:nmod
thread block:obj
call thread:acl
set call:obj
replic perform:nsubj
node perform:obl
return perform:obl
return node:conj
network trip:compound
trip involv:obj
set trip:nmod
replic acknowledg:nmod
cach set:obl
acknowledg cach:dep
replic acknowledg:nmod
set replic:nmod
block approach:compound
ack wait:obl
set rtt:amod
call set:advcl
set call:obj
involv set:acl
network involv:obj
rtt ack:nmod
set rtt:nmod
block call:advcl
pipelin approach:amod
approach block:obj
set call:obj
quick success:amod
success call:obl
wait call:advcl
respons wait:obl
network throughput:nmod
latenc limit:obl
messag replic:compound
send replic:dep
load send:obj
messag load:nmod
network rtt:compound
messag rtt:nmod
messag reach:nsubj
reach guarante:acl
backup reach:obj
send acknolwedg:acl
futur return:obj
api behav:nsubj
cach mode:compound
cluster config:compound
config mode:nmod
