dist mode:compound
mode sent:obl
map key:acl
data owner:compound
owner sent:obl
key owner:nmod
unnecessari load:amod
load add:obj
network add:obl
node respond:nsubj
respond add:advcl
valu larg:nsubj
unnecessari traffic:amod
network traffic:compound
traffic lot:nmod
broadcast owner:compound
data broadcast:nmod
owner purpos:nmod
overload respond:advcl
solut base:nsubj
configur timeout:amod
stagger timeout:compound
timeout provid:obj
timeout wait:obl
rpc respons:appos
configur subset:amod
subset broadcast:obl
owner subset:nmod
care thought:amod
design thought:conj
