integr investig:conj
adrian patch:nmod
patch investig:obj
hot server:amod
rod server:compound
server investig:obl
access investig:advcl
ssl access:obl
adrian email:nmod
add patch:acl
ssl add:obj
infinispan client:amod
client add:obl
week coupl:nmod
finish polish:dep
head base:obl
week base:obl
version rememb:ccomp
horribl part:amod
paramet list:compound
list modifi:obj
config object:compound
object pass:obj
git diff:compound
uncommit file:amod
file ive:nsubj
ive includ:ccomp
attach ive:dep
config properti:compound
properti set:obj
relev prefix:amod
infinispan prefix:compound
packag prefix:compound
file trust:parataxis
public key:amod
authent trust:obl
client authent:obj
trust store:compound
set left:advcl
properti set:obj
default implement:compound
box work:obl
enabl work:advcl
anon alogorithm:compound
alogorithm enabl:obj
server aren:nsubj
default enabl:obl
authent encrypt:ccomp
traffic encrypt:obj
test chang:obj
key trust:amod
trust store:compound
defin place:amod
place store:nmod
target place:nmod
code work:nsubj
serrver code:nmod
work memcach:dep
protocol work:obl
client support:nsubj
ssl support:obj
ssl construct:compound
context construct:compound
construct similar:nsubj
client server:compound
server similar:obl
knew share:advcl
put knew:xcomp
share stuff:amod
stuff put:obj
codebas stuff:nmod
bit comment:obj
client server:compound
socket timeout:compound
timeout ad:obj
network split:compound
drop split:compound
connect timeout:compound
socket construct:compound
construct timeout:nmod
full ping:amod
blown ping:amod
ping implement:obj
connect test:obj
start ping:nmod
run ping:acl
connect timeout:compound
system properti:compound
properti modifi:obj
handl modifi:xcomp
null default:acl
client side:compound
system replac:compound
properti replac:compound
server replac:nmod
place lot:nmod
code place:nmod
input stream open stream:nsubj
stream close:obj
good practic:amod
leav practic:acl
file close:nsubj
open close:dep
close leav:xcomp
hog happen:conj
system resourc:compound
resourc hog:obj
stream close:obj
input stream open stream:nsubj
free feel:xcomp
post free:xcomp
messag part:nmod
infinispan forum:amod
