infinispan support:nsubj
configur cach:amod
multipl level:amod
inherit level:nmod
nice easi:advcl
understand easi:xcomp
cach configur:nsubj
configur understand:ccomp
cach configur:compound
configur adjust:nsubj
debugg jmx:conj
configur instanc:compound
instanc convert:obj
give convert:advcl
quick overview:amod
overview give:obj
appli set:compound
set overview:nmod
nice featur:amod
implement featur:advcl
xml string implement:obj
method xml string:dep
overrid featur:advcl
overrid implement:conj
default overrid:obj
jaxb annot:compound
annot present:nsubj
configur option:amod
option present:obl
coupl getter:compound
annot getter:conj
exist instanc:amod
instanc convert:obj
featur request:compound
request fit:nsubj
cach config:compound
config transfer:obj
