server build:iobj
modul build:obj
base protocol:case
hot rod protocol:compound
protocol modul:nmod
exist compon:amod
boss remot:compound
remot compon:compound
compon base:obl
handl capabl:acl
load balanc:compound
balanc handl:obj
faoliv handl:obj
faoliv balanc:conj
compon share:obj
protocol repeat:nsubj
pars protocol:acl
repeat share:dep
compon share:obj
abstract transport:amod
transport reus:nsubj
socket transport:conj
socket reus:nsubj
handl transport:acl
code handl:obj
reus share:dep
comprehens page:amod
wiki page:compound
usag detail:obj
demonstr detail:obj
demonstr usag:conj
