current scheme:amod
rehash scheme:compound
scheme base:nsubj
pull base:obl
state pull:nmod
joiner pull:nsubj
owner joiner:conj
owner pull:nsubj
leav owner:nmod
state pull:obj
neighbour pull:obl
base scheme:case
scheme reimplement:obl
node detect:nsubj
detect scheme:acl
joiner detect:obj
leaver detect:obj
leaver joiner:conj
analys reimplement:conj
intern state:amod
state analys:obj
determin reimplement:conj
determin analys:conj
scheme robust:nsubj
scheme work:nsubj
involv robust:xcomp
rpc involv:obj
coordin involv:obj
coordin rpc:conj
work robust:conj
merg view:compound
view work:obl
detect view:acl
partit heal:nsubj
heal detect:advcl
bela prototyp:nmod
prototyp base:obl
