support creat:obj
cach pattern:compound
pattern creat:obl
distribut cach:amod
cach pattern:nmod
detail descript:amod
oracl document:compound
coher document:compound
document present:obl
cameron purdi:compound
purdi present:conj
combin base:obl
cach combin:nmod
local jvm:amod
jvm cach:nmod
applic cach:nmod
combin base:obl
cach combin:nmod
base cluster:case
distribut cluster:amod
cach cluster:compound
cluster base:advcl
server cluster:nmod
hot rod support:nsubj
client listen:compound
side listen:compound
listen support:obj
unsupport oper thrown:nsubj
thrown support:parataxis
regist cool:advcl
kind regist:obj
evict listen:compound
listen kind:nmod
client side:compound
side regist:obl
record invalid:nmod
local cach:amod
cach record:nmod
base event:case
remot cach:amod
distribut cach:amod
cach event:nmod
workaround kind:nmod
implement don:conj
cach listen:compound
listen implement:obj
server side:compound
side implement:obl
client notifi:obj
build notifi:conj
great cach:amod
infinispan cach:nmod
