typic constructor:amod
sql connect:compound
connect obtain:obj
list return:dep
cpt code:compound
code list:nmod
cpt code:compound
list return:dep
immun code:dep
cpt code:compound
code list:nmod
immun relat:dep
relat cpt:amod
cpt code:compound
list return:dep
cpt code:compound
code list:nmod
immun relat:dep
relat cpt:amod
cpt code:compound
procedur descript:compound
descript return:dep
code descript:nmod
string represent:compound
represent code:dep
code represent:nmod
textual descript:amod
code descript:nmod
add return:ccomp
cpt code:compound
code add:obj
ad return:ccomp
procedur bean ad:obl
repres ad:xcomp
code inform:compound
inform repres:obj
oper success:nsubj
success boolean:acl
procedur descript:compound
descript procedur bean:nsubj
cpt code:compound
code proc:compound
proc descript:nmod
procedur bean chang:xcomp
repres procedur bean:acl
code inform:compound
inform repres:obj
oper success:nsubj
success boolean:acl
