privaci edit:dep
diagnos level:nmod
default factori:compound
factori set:obl
dao creat:obj
mid log mid:dep
user mid:nmod
list return:dep
diagnosi bean list:nmod
patient list:nmod
list patient:dep
diagnosi bean list:nmod
list return:dep
hcp list:nmod
diagnosi icdcod:compound
diagnosi icdcod:dep
interest diagnosi:nmod
list interest:dep
hcp return:nmod
icd code:compound
code hcp:nmod
hcpid code:amod
mid hcpid:obl
hcp icdcod:compound
icdcod mid:nmod
icd code:compound
prescript code:nmod
icd code:compound
code hcp:nmod
diagnosi check:nmod
hcp compar:obj
