static inform:amod
inform manag:obj
relat inform:acl
patient relat:obl
relat inform:acl
aspect relat:obl
patient care:amod
care aspect:nmod
dao stand:nsubj
databas access:compound
access object:compound
object stand:obl
dao intend:nsubj
intend dao:ccomp
reflect intend:xcomp
databas reflect:nmod
tabl dao:nmod
databas tabl:nmod
complex set:amod
set ad:obl
queri set:nmod
extra dao:amod
dao ad:nsubj
dao assum:nsubj
data valid:nsubj
data correct:nsubj
valid assum:ccomp
correct assum:ccomp
correct valid:conj
paramet setter:conj
factori constructor:nmod
dao access:nsubj
dao access:nsubj
dao factori access:obl
connect dao factori:dep
dao access:obj
typic constructor:amod
sql connect:compound
connect obtain:obj
patient mid:nmod
question patient:nmod
string repres:nsubj
role return:dep
patient role:nmod
mid auth dao:amod
patient mid:nmod
question patient:nmod
string role:dep
repres string:acl
role repres:obj
patient role:nmod
repres string:acl
patient role:nmod
role repres:obj
add return:ccomp
empti patient:amod
patient add:obj
tabl add:obl
mid return:obj
mid return:nsubj
patient mid:nmod
long patient:nmod
patient inform:nmod
inform return:dep
mid return:dep
patient mid:nmod
retriev patient:acl
patient bean repres:nsubj
patient repres:obj
patient inform:nmod
inform updat:obj
patient bean:amod
bean updat:nsubj
repres bean:acl
inform repres:obj
patient inform:nmod
patient exist:nsubj
exist return:dep
pid exist:obj
mid exist:xcomp
patient mid:nmod
question patient:nmod
indic boolean:dep
patient exist:nsubj
exist indic:ccomp
list return:dep
hcp list:nmod
declar list:acl
patient pid:compound
pid declar:obl
mid declar:obl
patient mid:nmod
question patient:nmod
personnel bean:compound
hcp declar:obj
patient pid:compound
pid hcp:nmod
mid pid:dep
patient mid:nmod
question patient:nmod
hcp mid:nmod
mid hcp:dep
insert success:nsubj
success boolean:dep
hcp mid:nsubj
patient pid:compound
pid hcp:nmod
mid undeclar:xcomp
patient mid:nmod
question patient:nmod
mid hcp:dep
hcp mid:nmod
question hcp:nmod
indic boolean:dep
action success:nsubj
success indic:ccomp
patient declar:nsubj
declar check:advcl
hcp pid:compound
pid declar:iobj
mid pid:dep
patient mid:nmod
question patient:nmod
long question:nmod
mid hcpid:dep
hcp mid:nmod
question hcp:nmod
long question:nmod
list return:obj
patient list:nmod
patient repres:nsubj
repres return:ccomp
pid repres:obj
mid repres:xcomp
patient mid:nmod
question patient:nmod
list return:obj
patient list:nmod
patient repres:nsubj
repres return:ccomp
pid repres:obl
mid repres:obj
patient mid:nmod
question patient:nmod
represent repres:nsubj
repres check:advcl
represente represent:compound
represent mid:nsubj
mid repres:xcomp
represent mid:nmod
question represent:nmod
mid represente:dep
represente mid:nmod
question represente:nmod
indic boolean:dep
represen place:nsubj
place indic:ccomp
represent sign:obj
represente represent:compound
represent sign:obl
mid represent:dep
represent mid:nmod
long represent:nmod
mid represente:dep
represente mid:nmod
long represente:nmod
insert correct:nsubj
correct boolean:dep
represent unassign:dep
mid unassign:dep
represent mid:nmod
question represent:nmod
mid represente:dep
represente mid:nmod
question represente:nmod
indic boolean:dep
unassign sucess:nsubj
sucess indic:ccomp
list mid:nsubj
diagnos list:nmod
patient pid:compound
pid diagnos:nmod
mid return:xcomp
patient mid:nmod
question patient:nmod
list mid:nsubj
procedur list:nmod
patient pid:compound
pid procedur:nmod
mid return:xcomp
patient mid:nmod
question patient:nmod
list mid:nsubj
immun procedur:compound
procedur list:nmod
patient pid:compound
pid procedur:nmod
mid return:xcomp
patient mid:nmod
question patient:nmod
list return:obj
prescript list:nmod
patient prescript:nmod
mid return:xcomp
patient mid:nmod
question patient:nmod
list return:obj
prescript list:nmod
prescrib prescript:acl
patient prescrib:obl
mid prescrib:obj
patient mid:nmod
question patient:nmod
prescript bean:compound
list return:obj
prescript list:nmod
expir prescript:acl
prescript expir:obj
patient prescript:nmod
mid expir:obl
patient mid:nmod
question expir:obl
patient list:dep
databas patient:nmod
patient repres:obj
list return:obj
patient list:nmod
special diagnosi:amod
diagnosi histori:compound
histori patient:nmod
log return:dep
hcp log:obl
dhcp log:obl
day expir:obl
mid hcp mid:dep
log list:compound
list mid:nmod
patient list:nmod
satisfi patient:acl
condit satisfi:obj
patient return:dep
paramet pass:obl
