abstract class:amod
utliti method:compound
method number:nmod
check risk:amod
risk method:nmod
class extend:obj
patient risk factor risk:conj
actual risk:amod
risk factor:compound
patient increas:iobj
diseas risk:compound
risk increas:obj
indic boolean:dep
patient risk:nsubj
increas risk:amod
risk indic:ccomp
method exist:nsubj
perform exist:obl
stop hit:dep
hit exist:parataxis
threshold hit:obj
risk factor:compound
factor cach:nsubj
risk factor implementor:compound
implementor cach:obl
patient risk factor risk:nsubj
doubl risk:compound
queri risk:amod
risk cach:advcl
patient factor:amod
risk factor:compound
