handl dao:acl
survey result:compound
result handl:obj
dao stand:nsubj
databas access:compound
access object:compound
object stand:obl
dao intend:nsubj
intend dao:ccomp
reflect intend:xcomp
databas reflect:nmod
tabl dao:nmod
databas tabl:nmod
complex set:amod
set ad:obl
queri set:nmod
extra dao:amod
dao ad:nsubj
dao assum:nsubj
data valid:nsubj
data correct:nsubj
valid assum:ccomp
correct assum:ccomp
correct valid:conj
paramet setter:conj
factori constructor:nmod
dao access:nsubj
dao access:nsubj
dao factori access:obl
connect dao factori:dep
dao access:obj
typic constructor:amod
sql connect:compound
connect obtain:obj
return result:nsubj
survey return:dep
databas result:obl
correspond databas:acl
zip code:compound
code correspond:obl
zip interest:obl
zipcod zip:dep
string interest:obl
specialti interest:obl
string interest:obl
survey data:compound
data return:dep
specialti hospit:conj
hospit queri:dep
trust hospit:compound
string specialti:dep
repres string:acl
specialti repres:obj
interest specialti:acl
