action class:compound
default factori:compound
factori set:obj
dao creat:obj
mid log mid:dep
user mid:nmod
view mid:acl
messag view:obj
user log:obl
list log:obj
user messag:nmod
messag list:nmod
user log:obl
sort log:obl
sort user:conj
ascend log:advcl
time ascend:obj
list ascend:xcomp
user messag:nmod
messag list:nmod
user log:obl
sort log:obl
sort user:conj
ascend order:amod
list order:dep
user messag:nmod
user log:obl
sort log:obl
sort user:conj
descend order:amod
list order:dep
user messag:nmod
user log:obl
user list:nmod
messag user:dep
user log:obl
sort log:obl
sort user:conj
ascend log:advcl
time ascend:obj
list ascend:xcomp
user messag:nmod
messag list:nmod
user log:obl
sort log:obl
sort user:conj
ascend order:amod
list order:dep
user messag:nmod
user log:obl
sort log:obl
sort user:conj
descend order:amod
list order:dep
user messag:nmod
messag list:nmod
user messag:nmod
base criteria:case
filter criteria:compound
criteria user:nmod
messag list:compound
user messag bean:nmod
messag bean string:compound
filter string:compound
string list:nmod
user criteria:nmod
filter criteria:compound
messag bean list:nmod
meet list:acl
criteria meet:obj
filter criteria:nmod
patient mid:nmod
personnel mid:nmod
state set:obj
messag bean state:nmod
read set:advcl
read set:advcl
user read:obl
bean messag bean:compound
read messag bean:acl
unread messag:amod
messag number:nmod
current user:amod
unread messag:amod
messag number:nmod
