log mechan:amod
dao stand:nsubj
databas access:compound
access object:compound
object stand:obl
dao intend:nsubj
intend dao:ccomp
reflect intend:xcomp
databas reflect:nmod
tabl dao:nmod
databas tabl:nmod
complex set:amod
set ad:obl
queri set:nmod
extra dao:amod
dao ad:nsubj
dao assum:nsubj
data valid:nsubj
data correct:nsubj
valid assum:ccomp
correct assum:ccomp
correct valid:conj
paramet setter:conj
factori constructor:nmod
dao access:nsubj
dao access:nsubj
dao factori access:obl
connect dao factori:dep
dao access:obj
typic constructor:amod
sql connect:compound
connect obtain:obj
advers report:amod
event report:compound
mid user:appos
user mid:nmod
messag add:obj
databas add:obl
repres bean:acl
messag repres:obj
ad repres:advcl
