manag interact:amod
drug interact:compound
dao stand:nsubj
databas access:compound
access object:compound
object stand:obl
dao intend:nsubj
intend dao:ccomp
reflect intend:xcomp
databas reflect:nmod
tabl dao:nmod
databas tabl:nmod
complex set:amod
set ad:obl
queri set:nmod
extra dao:amod
dao ad:nsubj
dao assum:nsubj
data valid:nsubj
data correct:nsubj
valid assum:ccomp
correct assum:ccomp
correct valid:conj
paramet setter:conj
factori constructor:nmod
dao access:nsubj
dao access:nsubj
dao factori access:obl
connect dao factori:dep
dao access:obj
typic constructor:amod
sql connect:compound
connect obtain:obj
list return:dep
drug list:nmod
interact return:dep
input drug:compound
add return:ccomp
drug interact:compound
interact add:obj
addit success:nsubj
success return:advcl
code exist:nsubj
exist thrown:advcl
trust thrown:nsubj
interact drug:nmod
interact drug:nmod
descript explan:compound
drug interact:compound
interact explan:nmod
indic boolean:acl
success indic:obj
failur indic:obj
failur success:conj
interact remov:obj
databas remov:obl
drug databas:appos
patient drug:compound
patient true:advmod
remov fals:dep
fals remov:advcl
