manag code:amod
lab code:compound
procedur code:compound
code dao:nmod
databas access:compound
object access:dep
info valid:nsubj
stuff worri:obl
access dao factori:acl
dao access:obj
dao factori constructor:nmod
paramet dao factori:nmod
typic constructor:amod
sql connect:compound
connect obtain:obj
lab procedur:compound
procedur list:nmod
patient mid:nmod
long patient:nmod
lab procedur:amod
specif visit:amod
offic visit:compound
exclud procedur:case
lab procedur:compound
ovid offic:compound
lab procedur:compound
patient procedur:nmod
occur patient:acl
month occur:obl
patient mid:nmod
long patient:nmod
individu procedur:amod
lab procedur:compound
lab procedur:compound
lab procedur bean repres:nsubj
procedur repres:obj
patient procedur:nmod
offic visit:compound
visit patient:nmod
mid visit:amod
patient mid:nmod
offic visit:obl
offic visit:compound
visit patient:nmod
offic visit:nsubj
lab procedur:compound
period procedur:appos
lab procedur:compound
lab procedur:compound
patient hcp:conj
pend procedur:amod
lab procedur:compound
procedur count:nmod
hcp procedur:nmod
lab procedur:compound
occur lhcp:acl
month occur:obl
offic visit:obl
conduct visit:dep
lhcp conduct:obl
question lhcp:nmod
lab procedur:compound
procedur insert:dep
databas procedur:nmod
insert lab procedur bean:acl
insert bean:amod
lab procedur:compound
procedur bean:compound
exist procedur:amod
lab procedur:compound
procedur updat:obj
repres lab procedur bean:acl
procedur repres:obj
updat repres:advcl
lab procedur:compound
procedur mark:dep
view procedur:dep
lab procedur bean mark:dep
repres lab procedur bean:acl
procedur repres:obj
mark repres:advcl
view mark:dep
unview procedur:amod
lab procedur:compound
procedur count:nmod
patient procedur:nmod
lab procedur:compound
correspond procedur:acl
loinc correspond:obl
question loinc:nmod
lab procedur:compound
procedur user:nmod
question lab procedur bean:nmod
lab procedur:compound
procedur form:nsubj
form delet:ccomp
databas form:obj
lab procedur:compound
procedur list:nmod
lab tech:compound
lab list:nmod
procedur receiv:nsubj
lab tech:compound
tech receiv:obl
list test:nsubj
lab procedur:compound
procedur list:nmod
lab tech:compound
tech test:obl
receiv procedur:amod
lab procedur:compound
procedur count:conj
assign procedur:acl
specif tech:amod
lab tech:compound
tech assign:obl
receiv procedur:amod
lab procedur:compound
procedur count:conj
assign procedur:acl
specif tech:amod
lab tech:compound
tech assign:obl
group tech:acl
prioriti group:obl
