action class:compound
factori set:obj
dao creat:obj
mid log mid:dep
person mid:nmod
view person:acl
report request:compound
request view:obj
report log:nsubj
log return:parataxis
hcp list:compound
list log:obl
report list:nmod
hcp log:obl
report request:compound
request add:obj
report request:compound
request report:amod
request report:amod
report request:xcomp
view status:amod
status set:obj
report status:nmod
report view:nsubj
view request:advcl
hcp request:nsubj
request status:nmod
status request:dep
