chosen patient:acl
desir patient:amod
hcp confirm:nsubj
hcp prompt:nsubj
select confirm:obj
prompt confirm:conj
patient enter:nsubj
uap patient:conj
uap enter:nsubj
person repres:amod
repres patient:conj
repres enter:nsubj
systol pressur:amod
blood pressur:compound
pressur enter:obj
rang pressur:nmod
diastol pressur:amod
blood pressur:compound
pressur enter:obj
rang pressur:nmod
error notifi:obl
prompt notifi:conj
patient enter:nsubj
uap patient:conj
uap enter:nsubj
person repres:amod
repres patient:conj
repres enter:nsubj
glucos level:compound
level enter:obj
rang level:nmod
error notifi:obl
prompt notifi:conj
patient told:nsubj
uap patient:conj
person repres:amod
repres patient:conj
physiolog point:amod
data point:compound
point enter:obj
day point:nmod
addit data:amod
data enter:nsubj
enter told:ccomp
patient enter:nsubj
patient notifi:nsubj
patient prompt:nsubj
uap patient:conj
uap enter:nsubj
person repres:amod
repres patient:conj
repres enter:nsubj
alpha valu:compound
invalid valu:amod
valu enter:obj
weight read:compound
pedomet weight:conj
pedomet read:compound
read valu:nmod
notifi enter:conj
error notifi:obl
prompt enter:conj
uap patient:conj
person repres:amod
repres patient:conj
weight data:compound
data enter:obj
pedomet data:compound
data point:nsubj
data told:nsubj
day point:obl
told point:conj
told point:conj
addit data:amod
data enter:nsubj
enter told:ccomp
