user choos:nsubj
view choos:xcomp
physician satisfact:compound
satisfact view:iobj
survey result:compound
result view:obj
zip code:compound
hospit code:compound
option type:compound
physician type:compound
type code:conj
type code:conj
list type:nmod
format surgeon:compound
general surgeon:compound
surgeon type:dep
heart specialist:compound
specialist gyn:compound
pediatrician specialist:dep
gyn surgeon:dep
type physician:nmod
practic type:acl
zip code:compound
code practic:obl
address zipcod:compound
zipcod base:obl
digit match:obj
zip code:compound
code digit:nmod
averag number:amod
number wait:nsubj
minut patient:compound
patient number:nmod
room wait:obj
averag number:amod
number wait:nsubj
minut patient:compound
patient number:nmod
examin room:compound
room wait:obl
averag satisfact:amod
offic satisfact:compound
visit satisfact:compound
averag satisfact:amod
treatment inform:compound
inform satisfact:nmod
offic visit:compound
visit percentag:nmod
satisfact inform:compound
