document select:advcl
offic visit:compound
visit document:obj
hcp select:nsubj
prescrib select:xcomp
patient prescrib:iobj
drug patient:dep
select prescrib:advcl
ndc select:obj
notic choos:obl
allergi notic:nmod
interact notic:nmod
interact allergi:conj
hcp choos:nsubj
hcp remain:nsubj
proceed choos:xcomp
prescript proceed:obl
cancel choos:xcomp
cancel proceed:conj
prescript cancel:obj
remain choos:conj
offic page:compound
visit page:compound
page remain:obl
administr maintain:nsubj
overrid reason:compound
reason maintain:obj
hcp select:nsubj
select reason:acl
