administ code:compound
present administ:ccomp
list present:obl
ndc list:nmod
administr choos:nsubj
drug choos:obj
list choos:obl
record list:acl
interact record:obj
drug interact:nmod
drug store:nsubj
textual descript:amod
descript drug:conj
descript store:nsubj
effect descript:nmod
interact effect:nmod
administr select:nsubj
administr present:nsubj
drug select:obj
present select:conj
list present:obl
drug interact:compound
interact list:nmod
administr select:nsubj
administr delet:nsubj
pair select:obj
drug pair:nmod
delet select:conj
interact delet:obj
drug interact:nmod
