login failur:compound
failur record:obl
address record:nsubj
machin address:nmod
transact type:compound
timestamp address:conj
timestamp record:nsubj
creat record:advcl
view creat:conj
view record:advcl
modifi creat:conj
modifi record:advcl
delet creat:conj
delet record:advcl
inform delet:obj
inform record:nsubj
mid record:obj
user log:obl
secondari mid:amod
mid record:obj
user mid:nmod
inform access:nsubj
access user:acl
transact type:compound
type record:obj
type mid:conj
current timestamp:amod
timestamp record:obj
timestamp mid:conj
