resolut request:compound
exist maven project:amod
coordin maven project:conj
aid gid:dep
version aid:dep
pom depend:compound
depend process:obj
artifact filter:compound
control filter:acl
travers control:obj
depend graph:compound
graph travers:nmod
collect null:dep
transit depend:amod
depend collect:obj
artifact filter:compound
control filter:acl
download control:xcomp
artifact file:compound
file download:obl
filter oper:nsubj
artifact oper:obl
includ artifact:acl
file resolv:obj
artifact collect:obj
