basic servic:amod
maven plugin:compound
plugin manag:obj
mojo manag:obj
mojo plugin:conj
design general:obl
plugin mojo:compound
arbitrari context:amod
ordinari plugin:amod
build plugin:compound
special plugin:amod
purpos plugin:compound
map key:compound
maven project key:compound
context key:compound
valu key:compound
key plugin:dep
class realm:compound
build extens:compound
extens mojo:compound
load extens:conj
load mojo:compound
mojo load:obj
extens plugin:nsubj
true plugin:amod
plugin load:advcl
part note:parataxis
intern implement:amod
implement part:nmod
chang note:parataxis
chang part:conj
remov part:conj
remov chang:conj
notic chang:obl
