transient retriev:amod
retriev turn:obj
stuff retriev:nmod
ant task:compound
task turn:obl
log common:dep
runtim pull:nsubj
artifact download:dep
depend artifact:dep
common download:dep
log common:dep
log common:dep
common log:obj
log common:amod
artifact download:dep
depend artifact:dep
common download:dep
log common:dep
log common:dep
common log:obj
log common:amod
depend artifact:dep
download artifact:parataxis
depend artifact:dep
download artifact:parataxis
depend download:dep
download artifact:dep
junit artifact:dep
depend download:dep
download artifact:dep
junit artifact:dep
depend artifact:dep
download artifact:parataxis
depend artifact:dep
download artifact:parataxis
depend download:dep
download artifact:dep
junit artifact:dep
depend artifact:dep
download artifact:parataxis
depend artifact:dep
download artifact:parataxis
depend artifact:dep
download artifact:parataxis
consequ set:obl
classpath set:nsubj
wrong set:obj
content copi:obj
path content:nmod
lib dir:compound
dir copi:obl
war dir:nmod
conflict file:amod
jar file:compound
depend declar:obj
repositori entri:nmod
build fail:nsubj
jaxp parser:compound
xerc work:nsubj
work parser:acl
scope attribut:compound
transienc note:nsubj
problem note:obl
transienc run:obl
explicit transienc:acl
depend explicit:obl
