averag generat:obj
set averag:nmod
valu set:nmod
class implement:compound
execut perform:nsubj
perform implement:conj
distribut fashion:amod
fashion perform:obl
avg oper:nsubj
numer type:amod
type oper:obl
bytearray oper:obl
cast bytearray:acl
doubl cast:xcomp
bag expect:obj
tupl bag:nmod
record tupl:nmod
function pass:nsubj
bag pass:obj
integ bag:nmod
long bag:nmod
long integ:conj
adapt version:amod
avg version:nmod
integ arithmet:compound
data sum:obj
return type:compound
type doubl:nsubj
avg type:nmod
input type:compound
type doubl:obl
avg implement:nsubj
interfac implement:obj
prefer method:amod
usag method:nmod
