class function:nsubj
static valu:compound
final valu:amod
valu class:nmod
data type:compound
type encod:obj
number encod:obj
number type:conj
static helper:compound
helper number:nmod
manipul function:advcl
data object:compound
object manipul:obj
data type:compound
type valu:compound
byte code:compound
creat save:xcomp
object creat:obj
writeabl compar object:compound
object store:obj
creat store:advcl
order index:amod
index creat:obj
merg join index:nmod
object expect:obj
implement object:acl
writabl interfac:amod
interfac implement:obj
default constructor:compound
datatyp determin:obj
object datatyp:nmod
object test:nsubj
byte code:compound
type code:nmod
error code:conj
type object:compound
object repres:obl
determin object:dep
data type:compound
type determin:obj
examin type:acl
byte code:compound
code examin:obj
type code:nmod
error type:conj
number return:obj
type number:nmod
type number:obl
type valu:compound
valu array:nmod
byte array:compound
entri array:nmod
type entri:nmod
type valu:compound
valu map:nmod
valu type:obj
object test:nsubj
byte type:compound
code type:compound
byte type:compound
code type:compound
type code:compound
type code:compound
data type:compound
type complex:nsubj
complex determin:ccomp
data type code:compound
data code:compound
type code:compound
test code:dep
data type bag:nsubj
bag true:dep
tupl true:dep
tupl bag:conj
map true:dep
map bag:conj
object complex:nsubj
object atom:nsubj
complex determin:ccomp
atom determin:ccomp
atom complex:conj
object determin:nsubj
type determin:obj
data type bag:nsubj
bag true:dep
tupl true:dep
tupl bag:conj
map true:dep
map bag:conj
data type:compound
type atom:nsubj
atom determin:ccomp
data type code:compound
data code:compound
type code:compound
test code:dep
data type integ:nsubj
data type boolean:nsubj
bytearray integ:compound
bigchararray integ:dep
chararray integ:dep
integ true:dep
float true:dep
float integ:conj
boolean true:dep
boolean integ:conj
data type:compound
type atom:nsubj
atom determin:ccomp
object determin:nsubj
type determin:obj
data type integ:nsubj
data type boolean:nsubj
bytearray integ:compound
chararray integ:dep
integ true:dep
float true:dep
float integ:conj
boolean true:dep
boolean integ:conj
object determin:nsubj
valid schema:amod
data type:compound
determin data type:acl
valid schema:amod
object compar:obj
super class:amod
implement class:acl
compar implement:obj
arbitrari order:amod
object order:nmod
type object:nmod
boolean null:amod
byte null:dep
integ byte:nmod
long integ:amod
float byte:dep
doubl null:dep
datetim doubl:obj
bytearray datetim:nmod
string datetim:nmod
map datetim:nmod
tupl datetim:nmod
bag doubl:nmod
function implement:nsubj
cross logic:compound
object logic:compound
logic implement:obj
function call:obj
type determin:obj
pass type:acl
object pass:obl
reli type:acl
caller reli:obl
provid reli:xcomp
valu provid:obj
determin reli:advcl
multipl object:amod
type object:nmod
object type:dep
byte valu:compound
valu type:dep
type valu:nmod
byte valu:compound
data object:compound
object forc:dep
boolean object:nmod
numer type:amod
type forc:nsubj
boolean forc:obl
char array byte array:compound
byte array forc:dep
complex type:amod
type forc:nsubj
boolean forc:obl
object boolean:nsubj
cast boolean:acl
object cast:obl
cast object:acl
type cast:obj
object type:nmod
object cast:obj
boolean cast:obl
type forc:nsubj
boolean forc:obl
data object:compound
object forc:dep
integ object:nmod
numer type:amod
type forc:nsubj
integ forc:obl
precis lost:nsubj
lost integ:dep
char array forc:obl
char array integ:conj
byte array integ:conj
byte array char array:conj
boolean integ:conj
boolean char array:conj
complex type:amod
type forc:nsubj
integ forc:obl
object integ:nsubj
cast integ:acl
object cast:obl
cast object:acl
type cast:obj
object type:nmod
object cast:obj
integ cast:obl
data object:compound
object forc:dep
integ object:nmod
numer type:amod
type forc:nsubj
integ forc:obl
precis lost:nsubj
lost integ:dep
char array forc:obl
char array integ:conj
byte array integ:conj
byte array char array:conj
boolean integ:conj
boolean char array:conj
complex type:amod
type forc:nsubj
integ forc:obl
object integ:nsubj
cast integ:acl
method determin:nsubj
type determin:obj
byte object:appos
object cast:nsubj
object cast:obj
integ cast:obl
data object:compound
object forc:dep
long object:nmod
numer type:amod
type forc:nsubj
long forc:obl
precis lost:nsubj
lost long:dep
char array forc:obl
char array long:conj
byte array long:conj
byte array char array:conj
boolean long:conj
boolean char array:conj
complex type:amod
type forc:nsubj
long forc:obl
object long:nsubj
cast long:acl
object cast:obl
cast object:acl
type cast:obj
object type:nmod
object cast:obj
long cast:obl
data object:compound
object forc:dep
long object:nmod
numer type:amod
type forc:nsubj
long forc:obl
precis lost:nsubj
lost long:dep
char array forc:obl
char array long:conj
byte array long:conj
byte array char array:conj
boolean long:conj
boolean char array:conj
complex type:amod
type forc:nsubj
long forc:obl
object long:nsubj
cast long:acl
method determin:nsubj
type determin:obj
byte object:appos
object cast:nsubj
object cast:obj
long cast:obl
data object:compound
object forc:dep
float object:nmod
numer type:amod
type forc:nsubj
float forc:obl
precis lost:nsubj
lost float:dep
char array byte array:compound
byte array forc:obl
byte array float:conj
complex type:amod
type forc:nsubj
float forc:obl
cast float:ccomp
object cast:obl
cast object:acl
type cast:obj
object type:nmod
object cast:obj
float cast:obl
data object:compound
object forc:dep
float object:nmod
numer type:amod
type forc:nsubj
float forc:obl
precis lost:nsubj
lost float:dep
char array forc:obl
char array float:conj
byte array float:conj
byte array char array:conj
boolean float:conj
boolean char array:conj
complex type:amod
type forc:nsubj
float forc:obl
cast float:ccomp
method determin:nsubj
type determin:obj
byte object:appos
object cast:nsubj
object cast:obj
float cast:obl
data object:compound
object forc:dep
doubl object:nmod
numer type:amod
type forc:nsubj
doubl forc:obl
char array byte array:compound
byte array forc:dep
complex type:amod
type forc:nsubj
doubl forc:obl
object doubl:nsubj
cast doubl:acl
object cast:obl
cast object:acl
type cast:obj
object type:nmod
object cast:obj
doubl cast:obl
data object:compound
object forc:dep
date time object:nmod
char array byte array:compound
byte array forc:nsubj
date time forc:obl
numer type:amod
type forc:nsubj
complex type:amod
type forc:nsubj
date time forc:obl
object date time:nsubj
cast date time:acl
object cast:obl
cast object:acl
type cast:obj
object type:nmod
object cast:obj
boolean cast:obl
type forc:nsubj
boolean forc:obl
data object:compound
object forc:dep
doubl object:nmod
numer type:amod
type forc:nsubj
doubl forc:obl
char array forc:obl
char array doubl:conj
byte array doubl:conj
byte array char array:conj
boolean doubl:conj
boolean char array:conj
complex type:amod
type forc:nsubj
doubl forc:obl
object doubl:nsubj
cast doubl:acl
method determin:nsubj
type determin:obj
byte object:appos
object cast:nsubj
object cast:obj
doubl cast:obl
data object:compound
object forc:dep
string object:nmod
simpl type:amod
atom type:amod
type forc:nsubj
string forc:obl
includ byte array:case
byte array string:nmod
complex type:amod
type forc:nsubj
string forc:obl
object string:nsubj
cast string:acl
object cast:obl
cast object:acl
type cast:obj
object type:nmod
object cast:obj
string cast:obl
data object:compound
object forc:dep
string object:nmod
simpl type:amod
atom type:amod
type forc:nsubj
string forc:obl
includ byte array:case
byte array string:nmod
complex type:amod
type forc:nsubj
string forc:obl
object string:nsubj
cast string:acl
method determin:nsubj
type determin:obj
byte object:appos
object cast:nsubj
object cast:obj
string cast:obl
object map:nsubj
map return:advcl
map return:obl
object map:nsubj
cast map:acl
object cast:nsubj
object cast:obj
map cast:obl
object tupl:nsubj
tupl return:advcl
tupl return:obl
object tupl:nsubj
cast tupl:acl
object cast:nsubj
object cast:obj
doubl cast:obl
object bag:nsubj
bag return:advcl
bag return:obl
object bag:nsubj
cast bag:acl
object cast:nsubj
object cast:obj
doubl cast:obl
numer type:amod
type determin:advcl
byte valu:compound
valu type:nmod
test type:acl
true test:xcomp
numer type:amod
type fals:dep
type determin:advcl
work type:acl
type test:nsubj
byte valu:compound
valu type:nmod
fals test:xcomp
type unknown:nsubj
type null:nsubj
unknown test:advcl
null test:advcl
null unknown:conj
error test:advcl
error unknown:conj
true test:dep
type cast:nsubj
cast test:dep
cast type type:compound
data type:compound
cast type:compound
input type data:compound
data type:compound
input type:nmod
true input:amod
fals input:amod
fals true:conj
type merg:obj
merg type:amod
type find:obj
type upcast:nsubj
upcast type:acl
merg type:amod
map turn:obl
string turn:obl
map represent:compound
string represent:compound
map represent:obl
byte array:compound
array equal:nsubj
java array:compound
byte array:compound
pig array:compound
byte array:compound
equal test:ccomp
lhs byte:nsubj
array rhs:nsubj
rhs byte:ccomp
byte array:compound
array rhs:obj
true rhs:xcomp
null rhs:advcl
length rhs:advcl
length null:conj
util method:compound
determin method:acl
schema determin:obj
pass data type:amod
data type schema:nmod
data type bag:nsubj
tupl bag:conj
schema determin:obj
data type determin:obl
field iter:obl
method work:nsubj
raw object:amod
object work:obl
field descript:compound
descript work:obl
descript object:conj
specif behavior:amod
behavior determin:nsubj
determin work:parataxis
klass paramet:compound
paramet determin:obl
field iter iter:compound
field iter:nmod
