unord collect:amod
tupl collect:nmod
multipl collect:nmod
tupl store:nsubj
list store:obl
order concern:nmod
distinct concern:nmod
distinct order:conj
constructor creat:nsubj
bag creat:obj
exist list:amod
list creat:obl
tupl list:nmod
list ownership:nmod
copi creat:dep
content copi:obj
list content:nmod
list tupl list:nsubj
handl iter:acl
issu coupl:nmod
deal issu:acl
data store:nsubj
data store:nsubj
combin store:obl
memori combin:nmod
disk store:obl
iter read:nsubj
read spill:advcl
someplac point:obl
memori someplac:nmod
disk file:compound
file switch:obl
