unord collect:amod
tupl collect:nmod
multipl collect:nmod
data store:nsubj
duplic store:obl
time sort:advcl
spill time:acl
data sort:nsubj
data written:nsubj
written sort:conj
disk sort:obl
read sort:obl
spill happen:nsubj
happen sort:advcl
place find:obj
file find:obl
data store:nsubj
hash set store:obl
sort time:acl
machin dispit:dep
store faster:advcl
tree set store:obl
handl iter:acl
issu coupl:nmod
deal issu:acl
data store:nsubj
data store:nsubj
combin store:obl
memori combin:nmod
disk store:obl
iter read:nsubj
read spill:advcl
someplac point:obl
memori someplac:nmod
disk file:compound
file switch:obl
spill file:compound
issu avoid:obj
fan larg:dep
merg fan:nmod
experiment shown:nsubj
hadoop team:amod
team experiment:nmod
optim number:amod
number shown:ccomp
spill file:compound
file number:nmod
function modifi:nsubj
function assum:nsubj
spill file array:compound
array modifi:obj
assum modifi:conj
write lock:compound
lock held:nsubj
held assum:ccomp
tupl reconstitut:nsubj
tupl evalu:nsubj
tupl rewritten:nsubj
tupl reconstitut:obl
evalu reconstitut:conj
rewritten reconstitut:conj
tupl rewritten:obl
tupl read:obj
file read:obl
prioriti tree set:nmod
