read write:nsubj
metadata write:obj
metafil json:nmod
data write:dep
metadata error:dep
schema error:compound
consid schema:dep
option method:amod
method suppress:nsubj
suppress consid:ccomp
log schema:conj
log error:compound
encount error:ccomp
schema read:obj
json file:compound
metadata file:compound
file read:obl
schema paramet:compound
paramet fals:nsubj
fals suppress:advcl
error suppress:nsubj
error log:nsubj
suppress file:acl
log file:acl
log suppress:conj
locat schema:compound
job schema:compound
schema suppress:obj
metadata consid:obl
stat consid:nsubj
option consid:iobj
method error:compound
suppress method:dep
log method:conj
log error:compound
error option:dep
encount consid:advcl
