join merg:xcomp
index join:obj
fli index:compound
index generat:obl
merg join:nsubj
record sampl:obj
block sampl:obl
side input:compound
input block:nmod
tupl return:xcomp
format tupl:nmod
posit sort:nsubj
split index posit:dep
tupl posit:dep
sort return:parataxis
written sort:advcl
index file:compound
file written:obl
hdfs written:obl
loader specif:compound
specif func spec:dep
serial version:amod
version plan:parataxis
plan version:nmod
index file:compound
file key:nmod
tupl key:nmod
tupl file:conj
sampl tupl:amod
serial phi plan plan:amod
serial plan:amod
physic plan:amod
side plan:nmod
