implement project:nsubj
special form:amod
form implement:nmod
introduc project:dep
relat oper:amod
oper introduc:obl
suppli oper:acl
bag suppli:obj
output suppli:obl
express project:dep
project provid:nsubj
provid lead:parataxis
bag provid:obj
input bag:nmod
successor oper:compound
express oper:compound
oper provid:obl
leaf lead:nsubj
plan leaf:nmod
predecessor relat:nsubj
relat lead:dep
oper send:nsubj
send relat:ccomp
eop send:nsubj
empti bag:amod
bag send:obj
signal send:advcl
empti output:amod
output signal:obj
send signal:conj
eop note:compound
note send:obj
project send:parataxis
return type:compound
type bag:compound
bag relat:obl
predecessor plan:nsubj
plan bag:acl
project plan:nmod
bag queri:dep
regular project:amod
flag project:nmod
