java program:compound
program class:nmod
connect program:acl
pig connect:obl
program creat:nsubj
pig server instanc:compound
instanc creat:obj
programm regist:nsubj
programm retriev:nsubj
queri regist:obj
retriev regist:conj
result retriev:obj
store regist:dep
shutdown method:compound
method call:obl
free call:xcomp
resourc free:obj
current instanc:amod
pig server instanc:compound
memori leak:compound
leak result:obl
exec type string mapreduc:nsubj
exec type string local:nsubj
local mapreduc:conj
local mode:amod
hadoop runner:nmod
local runner:amod
job runner:compound
job execut:obj
local machin:amod
machin execut:obl
mapreduc mode:compound
mode connect:nsubj
cluster connect:obl
execut connect:xcomp
job execut:obj
pig deduc:nsubj
execut engin deduc:obj
classpath deduc:advcl
backend execut:amod
exec type type:amod
execut type:compound
start type:dep
engin start:obj
local mode:amod
hadoop runner:nmod
local runner:amod
job runner:compound
job execut:obj
local machin:amod
machin execut:obl
mapreduc mode:compound
mode connect:nsubj
cluster connect:obl
execut connect:xcomp
job execut:obj
current dag:amod
log level:amod
level set:obj
debug set:obl
log level:amod
level set:obj
default set:obl
default parallel:compound
parallel set:obj
job number:compound
default number:compound
number set:obl
reduc number:nmod
batch mode:compound
execut mode:compound
mode start:obj
current mode:amod
execut mode:compound
mode retriev:obj
execut mode:compound
mode batch:nsubj
batch true:dep
fals batch:dep
current batch:amod
batch process:obl
process store:acl
current batch:amod
batch process:obl
fals true:dep
method pars:nsubj
method build:nsubj
script pars:obj
build pars:conj
logic plan build:obj
method call:obj
build call:advcl
batch submit:obj
pig command:compound
command batch:nmod
execut submit:obl
job list:nmod
execut job:acl
batch submit:obj
pig command:compound
command batch:nmod
execut submit:obl
pars skip:csubj
build pars:conj
build skip:csubj
script pars:obl
user skip:obl
call user:acl
fals pass:xcomp
argument fals:obl
case argument:nmod
list retriev:obj
job object:compound
object list:nmod
pig stat stat:compound
object stat:compound
stat object:nmod
list retriev:obl
exec job object:compound
object list:nmod
batch discard:obj
pig command:compound
command batch:nmod
path add:obj
skip add:advcl
ship skip:advcl
binari ship:obj
stream ship:obl
skip path:acl
alia defin:obj
function spec:compound
spec alia:nmod
requir function:acl
argument requir:obj
constructor requir:obl
function alia:compound
alia function:dep
defin alia:acl
func spec object:compound
object func spec:dep
repres object:acl
function class:compound
argument class:conj
constructor repres:obl
alia defin:obj
stream command:compound
command alia:nmod
command command alia:dep
alia defin:nsubj
defin command alia:parataxis
stream command:compound
command defin:obj
execut defin:xcomp
jar file:compound
file regist:obj
jar file:compound
absolut path:amod
relat absolut:conj
relat path:amod
multipl resourc:amod
return regist:advcl
system resourc return:obl
warn issu:nsubj
inform issu:xcomp
user inform:obj
jar file:compound
univers support:compound
script support:compound
languag support:compound
pig path:compound
script file:compound
file keyword:compound
script lang keyword:compound
languag keyword:compound
keyword path:nmod
script engin path:nmod
script engin keyword:conj
script namespac:compound
namespac interpret:obj
defin namespac:acl
function defin:obl
script function:nmod
queri regist:dep
pig runtim:compound
runtim queri:nmod
queri pars:nsubj
queri regist:nsubj
regist pars:conj
execut pars:conj
pig latin:compound
latin express:compound
express queri:obj
evalu queri:xcomp
start line number:amod
line number:compound
queri number:obl
script queri:nmod
queri regist:dep
pig runtim:compound
runtim queri:nmod
queri pars:nsubj
queri regist:nsubj
regist pars:conj
execut pars:conj
equival set:csubj
call equival:advcl
pig latin:compound
latin express:compound
express queri:obj
evalu queri:xcomp
pig script:compound
script regist:dep
input stream sourc:compound
sourc script:nmod
general regist:acl
extens regist:acl
extens general:conj
pig script:compound
script file:nsubj
local file:amod
file general:ccomp
pig script:compound
script memori:nsubj
memori machin:parataxis
build memori:ccomp
pig script:compound
script machin:nsubj
remot machin:amod
wrap machin:acl
socket input stream wrap:obl
pig script:compound
script regist:dep
input stream sourc:compound
sourc script:nmod
general regist:acl
extens regist:acl
extens general:conj
pig script:compound
script file:nsubj
local file:amod
file general:ccomp
pig script:compound
script memori:nsubj
memori machin:parataxis
build memori:ccomp
pig script:compound
script machin:nsubj
remot machin:amod
wrap machin:acl
socket input stream wrap:obl
paramet substitut:nsubj
pig script:compound
script paramet:nmod
valu substitut:obl
param valu:nmod
param substitut:obl
paramet valu:compound
valu substitut:conj
pig script:compound
script regist:dep
input stream sourc:compound
sourc script:nmod
general regist:acl
extens regist:acl
extens general:conj
pig script:compound
script file:nsubj
local file:amod
file general:ccomp
pig script:compound
script memori:nsubj
memori machin:parataxis
build memori:ccomp
pig script:compound
script machin:nsubj
remot machin:amod
wrap machin:acl
socket input stream wrap:obl
paramet substitut:nsubj
pig script:compound
script paramet:nmod
substitut socket input stream:acl
valu substitut:obl
paramet file:compound
file valu:nmod
param file file:compound
file substitut:obl
paramet set:compound
pig script:compound
script regist:dep
input stream script:nmod
pig script:compound
script file:nsubj
local file:amod
pig script:compound
script memori:nsubj
build memori:ccomp
byte array input stream pig:compound
script machin:nsubj
remot machin:amod
machin build:dep
wrap machin:acl
socket input stream wrap:obl
paramet substitut:nsubj
pig script:compound
script paramet:nmod
valu substitut:obl
map valu:nmod
paramet file:compound
file valu:nmod
file map:conj
param valu:obl
map overrid:nsubj
overrid valu:parataxis
valu overrid:obj
paramet file:compound
