construct factori:acl
tupl construct:obj
class abstract:nsubj
user overrid:nsubj
overrid abstract:advcl
tupl factori:compound
factori overrid:obj
desir overrid:advcl
provid desir:xcomp
return provid:ccomp
implement return:obj
tupl implement:nmod
set creat:advcl
set creat:advcl
url set:obl
point url:acl
jar point:obl
instanc creat:obj
class instanc:nmod
instanc creat:obj
default tupl factori instanc:nmod
singleton factori:compound
tupl construct:obj
empti tupl:amod
tupl creat:obj
tupl int:compound
empti tupl:amod
tupl creat:obj
size field:compound
field creat:obl
null constructor:amod
constructor prefer:obl
constructor prealloc:nsubj
prealloc prefer:advcl
size prealloc:obj
field hold:obj
call legal:advcl
call legal:xcomp
object legal:dep
size legal:advcl
size number:compound
field number:nmod
tupl field:nmod
size field:compound
field tupl:obl
tupl creat:obj
list creat:obl
object list:nmod
list copi:nsubj
object list:nmod
tupl field:nmod
list object:compound
object tupl:obl
field object:nmod
tupl creat:obj
list creat:obl
object list:nmod
list ownership:nmod
object list:nmod
tupl field:nmod
list object:compound
object tupl:obl
field object:nmod
tupl creat:obj
singl element:amod
element creat:obl
singl element:amod
element stick:obj
tupl stick:obl
put stick:advcl
bag put:obl
put datum:dep
tupl put:obl
field tupl:dep
actual class:amod
class return:obj
repres return:xcomp
tupl repres:obj
implement factori:amod
factori return:nsubj
return repres:ccomp
exact class:amod
output input:conj
implement class:acl
tupl implement:obj
test purpos:compound
function call:nsubj
unit test:nsubj
test call:conj
actual class:amod
class return:obj
implement return:xcomp
raw compar:amod
compar implement:obj
tupl implement:obl
factori return:nsubj
return implement:ccomp
tupl sort:compound
sort speed:obj
actual class:amod
return class:amod
serial detail:compound
default implement:compound
implement serial:nsubj
pig tupl default raw compar implement:appos
data serial:obj
comparison class:compound
class serial:obl
implement class:acl
tupl compar:compound
raw compar:amod
compar implement:obj
tupl size:nsubj
creat tupl:acl
factori creat:obl
fix size:amod
size inspect:ccomp
creat size:advcl
practic term:amod
append support:ccomp
tupl fix:nsubj
