order collect:amod
tupl collect:nmod
multipl collect:nmod
data store:nsubj
data sort:nsubj
unsort store:obj
sort store:conj
time sort:advcl
dump time:acl
file dump:obl
iter request:nsubj
request sort:advcl
request time:conj
store faster:advcl
sort store:ccomp
user defin:dep
defin compar:amod
default compar:compound
compar provid:obj
case provid:obl
bag regist:nsubj
spillabl memori manag regist:obl
number calcul:obj
tupl number:nmod
hold calcul:advcl
memori hold:obj
spill hold:obj
spill memori:conj
file hold:obl
comp compar:compound
handl iter:acl
data store:nsubj
data store:nsubj
combin store:obl
memori combin:nmod
disk store:obl
tupl hold:obj
prioriti queue:compound
queue hold:obl
file number:compound
number store:dep
tupl store:dep
tupl read:nsubj
queue read:obl
file read:nsubj
replac tupl:compound
tupl read:obj
spill file:compound
issu avoid:obj
fan larg:dep
merg fan:nmod
experiment shown:nsubj
hadoop team:amod
team experiment:nmod
optim number:amod
number shown:ccomp
spill file:compound
file number:nmod
function modifi:nsubj
function assum:nsubj
spill file array:compound
array modifi:obj
assum modifi:conj
write lock:compound
lock held:nsubj
held assum:ccomp
tupl reconstitut:nsubj
tupl evalu:nsubj
tupl rewritten:nsubj
tupl reconstitut:obl
evalu reconstitut:conj
rewritten reconstitut:conj
tupl rewritten:obl
sort spec:compound
