maximum generat:obj
set maximum:nmod
valu set:nmod
class implement:compound
execut perform:nsubj
perform implement:conj
distribut fashion:amod
fashion perform:obl
max oper:nsubj
max oper:nsubj
numer type:amod
type oper:obl
chararray oper:obl
bytearray oper:obl
cast bytearray:acl
doubl cast:xcomp
bag expect:obj
tupl bag:nmod
record tupl:nmod
function pass:nsubj
bag pass:obj
integ bag:nmod
long bag:nmod
long integ:conj
adapt version:amod
max version:nmod
integ arithmet:compound
data compar:obj
return type:compound
type match:nsubj
max type:nmod
input type:compound
type match:obj
max implement:nsubj
interfac implement:obj
prefer method:amod
usag method:nmod
