pig stat encapsul:nsubj
statist encapsul:obj
collect statist:acl
run script:compound
script collect:obl
status includ:obj
execut status:nmod
dag execut:appos
hadoop job:compound
job dag:nmod
inform includ:obj
inform status:conj
output inform:nmod
input inform:nmod
input output:conj
script output:nmod
return code:compound
code defin:nsubj
return code defin:obl
error string:compound
messag string:compound
string return:dep
error code:compound
code return:dep
pig code:nmod
error code:compound
code return:dep
pig code:nmod
properti return:dep
display messag:compound
messag return:obl
pig grunt:compound
grunt messag:dep
dag spawn:nsubj
job dag:nmod
spawn return:acl
script spawn:obl
list return:dep
output locat:compound
locat list:nmod
script locat:nmod
list return:dep
number return:dep
byte number:nmod
output locat:compound
locat byte:nmod
invalid locat:amod
number return:dep
record number:nmod
output locat:compound
locat record:nmod
invalid locat:amod
alia return:dep
output locat:compound
total count:amod
spill count:compound
count return:dep
spillabl memori manag count:nmod
total number:amod
number return:dep
bag number:nmod
spill return:acl
total number:amod
number return:dep
record number:nmod
spill return:acl
return written:nsubj
total byte:amod
byte return:dep
user written:obl
hdfs locat:compound
script locat:nmod
total number:amod
number return:dep
record number:nmod
user record:nmod
output locat:compound
locat return:dep
script locat:nmod
content return:dep
script content:nmod
run content:acl
number return:dep
job number:nmod
script job:nmod
class print:nsubj
job graph print:obj
job graph oper plan:nsubj
member job stat:nsubj
job stat oper plan:dep
list represent:compound
represent return:dep
job graph:compound
graph represent:nmod
return list:compound
array list list:compound
