subtract return:csubj
bag return:obj
compos bag:acl
tupl compos:obl
bag tupl:nmod
bag compos:obl
null replac:advcl
bag argument:compound
argument replac:nsubj
empti bag:amod
bag replac:obl
implement assum:nsubj
bag fit:nsubj
pass bag:acl
function pass:obl
fit assum:ccomp
memori fit:obl
case function:advcl
udf function:nsubj
slow function:conj
bag field:compound
field compar:obj
input tupl:compound
tupl field:nmod
return compar:conj
bag return:obj
compos bag:acl
element compos:obl
bag element:nmod
bag compos:obl
tupl input:dep
bag field:compound
field tupl:nmod
