call criteria:advcl
pattern match:compound
match criteria:nsubj
met criteria:acl
match plan:acl
pattern match:obj
pattern graph:nmod
oper point:nsubj
object point:obl
plan object:nmod
match point:xcomp
tree match:nsubj
match transform:ccomp
match plan:acl
pattern match:obj
pattern graph:nmod
oper point:nsubj
object point:obl
plan object:nmod
match point:xcomp
part transform:nsubj
tree part:nmod
transform report:acl
part visit:nsubj
part modifi:nsubj
tree part:nmod
modifi visit:conj
schema visit:obj
annot schema:appos
node plan:nsubj
remov node:acl
node plan:dep
ad node:acl
move node:acl
move ad:conj
describ oper plan:acl
node chang:obj
