manag easier:advcl
avro schema:compound
schema manag:obj
sourc code:compound
code schema:nmod
java class:compound
serial avro:amod
deseri serial:dep
avro class:nmod
tmp myuser:compound
myuser store:nmod
agur pass:obl
entir json:amod
avro json:compound
schema json:compound
json agur:appos
pig script:compound
script json:nmod
outdat set:amod
avro file:compound
schema file:compound
file set:nmod
schemafil option:compound
option hdfs:nmod
classpath awar:nsubj
awar good:advcl
serial awar:advcl
deseri serial:conj
avro data:compound
data serial:obj
leverag good:obl
qualifi classnam:amod
classnam good:dep
