general group:amod
oper group:nmod
pig oper:nmod
reduc mapper:conj
disk write:nsubj
write incur:ccomp
read write:conj
mapper write:obl
reduc write:obl
reduc mapper:conj
input data:compound
record group:nsubj
key record:nmod
data sort:nsubj
sort group:advcl
key sort:obl
record input:nsubj
key record:nmod
mapper input:compound
group perform:nsubj
group remov:nsubj
oper group:nmod
mapper perform:obl
remov perform:conj
overhead write:nsubj
disk overhead:nmod
write remov:ccomp
read write:conj
alan propos:nsubj
ad propos:xcomp
hint ad:obj
group ad:obl
claus ad:obl
propos addit:amod
addit oper:nsubj
mapsid oper:compound
group oper:compound
collect oper:acl
record collect:obj
key record:nmod
buffer key:nmod
key chang:amod
emit chang:acl
key emit:obj
bag emit:obj
bag key:conj
record key:nmod
key collect:nsubj
record key:nmod
collect assum:ccomp
key buffer:obl
loader implement:nsubj
implement expect:ccomp
data system:compound
system implement:obl
zebra system:nmod
ensur implement:xcomp
data satisfi:nsubj
emit data:acl
loader emit:obl
satisfi ensur:ccomp
properti satisfi:obj
user respons:nmod
loader respons:nmod
loader user:conj
guarante user:acl
properti guarante:obj
invok respons:conj
mapsid hint:compound
hint invok:obj
group hint:nmod
claus group:nmod
pig runtim:compound
runtim check:nsubj
error check:obl
input data:compound
data error:nmod
group support:obl
claus group:nmod
mapsid hint:compound
hint claus:nmod
pig latin:compound
latin support:nsubj
group support:obj
column support:obl
group support:dep
express group:obl
group express:conj
