featur zebra:nsubj
support zebra:xcomp
sort support:dep
data sort:obj
storag sort:obl
storag librari:compound
librari sort:obl
zebra sort:nsubj
data sort:obj
creation support:obj
sort data:amod
data creation:nmod
pig map:nmod
map data:nmod
reduc support:conj
task reduc:obj
storag format:compound
format zebra:nmod
sort tabl:amod
sort manner:amod
manner data:nmod
file manner:nmod
creat file:acl
mapper creat:obl
reduc creat:obl
reduc mapper:conj
sort mark:advcl
data creation:compound
creation sort:obj
pig oper:nmod
store oper:compound
oper sort:obl
input data:compound
data sort:nsubj
order sort:obl
zebra tabl:compound
tabl mark:nsubj
sort mark:advcl
sort column:amod
column sort:obl
data creation:compound
creation sort:obj
map reduc:compound
reduc task:compound
task creation:nmod
static method:compound
basic tabl output class:compound
class method:nmod
goal achiev:obj
sort column:amod
input tupl:compound
tupl column:nmod
store column:acl
sort key sort key generat:conj
key tupl:amod
accept tupl:amod
zebra accept:obl
sort key:amod
key zebra:nmod
base schema:case
schema key:nmod
sort schema:acl
column sort:obj
input sort:obj
input column:conj
tupl generat:obj
sort pass:advcl
data read:nsubj
read sort:ccomp
pig oper:nmod
load oper:compound
oper read:obl
string pass:obj
sort string:acl
extra argument:amod
argument sort:obl
tabl loader constructor:compound
constructor sort:obl
tabl sort:obj
load sort:advcl
sort call:advcl
data read:nsubj
read sort:ccomp
map reduc:compound
reduc task:compound
task read:obl
static method:compound
method call:nsubj
tabl input format class:compound
class method:nmod
requir sort tabl method:appos
sort tabl:amod
read tabl:acl
overload version:amod
version call:nsubj
method version:nmod
sort tabl:amod
compar column:conj
releas support:obl
sort support:csubj
tabl sort:obj
sort support:xcomp
ascend order:amod
order sort:advcl
descend order:amod
addit type:obl
sort key:compound
key type:nsubj
simpl type:amod
complex type:amod
record type:nmod
collect type:nmod
collect record:conj
map type:nmod
map record:conj
multipl key:amod
key sort:compound
sort support:nsubj
order signific:nsubj
multipl key:amod
sort key:compound
key order:nmod
sort column:compound
column signific:obl
primari key:amod
sort key:compound
key signific:xcomp
secondari sort:amod
releas store:obl
sort key:compound
key store:nsubj
sort column:compound
column store:obl
key creat:nsubj
creat column:acl
result creat:xcomp
data storag:compound
storag redund:compound
redund result:obl
