simpl framework:amod
unit framework:compound
framework provid:obj
enabl framework:acl
pig script:compound
script enabl:obj
test unit:dep
test regress:dep
cluster requir:nsubj
set cluster:acl
string arg:compound
test pig test:nsubj
pig arg:compound
string input:compound
string output:compound
input output:compound
output data:appos
queri chararray:compound
count chararray:appos
queri group:obl
properti present:nsubj
present local:dep
automat cluster:amod
mini cluster:amod
default cluster:dep
class path:compound
pigtest conf:compound
exist cluster:amod
cluster point:obl
properti present:nsubj
present cluster:dep
idea integr:nsubj
piggybank integr:obl
pig parser pig server:compound
pig server improv:nsubj
improv integr:conj
interfac improv:ccomp
pig unit simpl:nsubj
compon built:nsubj
base pig unit:case
pig unit compon:nmod
standalon mini cluster:amod
workspac notion:nmod
test workspac:nmod
standalon util:amod
read util:acl
test configur:compound
configur read:obj
generat util:acl
generat read:conj
test report:compound
report generat:obj
open prototyp:amod
suggest open:obl
feedback advantag:nmod
patch appli:obj
test compil:obj
mapreduc miniclust:compound
miniclust min:nmod
futur split:obl
unit futur:nmod
integr futur:nmod
integr unit:conj
contrib test:compound
piggybank test:compound
java test:compound
src test:compound
java test:compound
org test:compound
apach test:compound
pig test:compound
piggybank test:compound
test pigunit:compound
cluster forget:obl
classpath cluster:nmod
