safeti measur:compound
udf monitor:obj
execut monitor:advcl
return prefer:xcomp
null return:obj
default valu:compound
valu return:obj
valu null:conj
time return:advcl
runaway evalu:amod
evalu time:obj
kill return:advcl
kill time:conj
job kill:obj
complex express:amod
regular express:amod
express lead:nsubj
job failur:compound
failur lead:obl
dozen obnoxi:dep
million obnoxi:obl
obnoxi string:amod
string lead:obl
give great:xcomp
pig user:compound
user give:iobj
enabl monitor:amod
udf monitor:compound
