propos tool:amod
penni tool:compound
pig plan:nmod
logic plan:amod
code inject:obj
dataflow inject:obl
plan modifi:obj
modifi plan:amod
plan hand:obj
pig execut:nsubj
function open:obj
general user:amod
user open:obl
subclass pig server:compound
mark class:acl
limit privat mark:obl
penni mark:obl
class provid:nsubj
call provid:obj
pars provid:advcl
pig latin:compound
latin script:compound
script pars:obj
return provid:advcl
return pars:conj
logic plan:amod
plan return:obj
logic plan:amod
execut return:advcl
