support driven:obl
seam compon:compound
compon support:nmod
driven event:amod
add arg type:parataxis
listen add:obj
event type:compound
type listen:nmod
event type:compound
type method bind express:compound
method bind express add:nsubj
method bind:compound
bind arg type:nsubj
express bind:acl
argument type:compound
type arg type:obj
method bind:compound
bind type:nmod
event pass:nsubj
type process:obl
event type:compound
type paramet:compound
paramet type:dep
pass rais:ccomp
listen method:compound
method pass:obl
event pass:nsubj
type process:obl
event type:compound
type paramet:compound
paramet type:dep
pass rais:ccomp
listen method:compound
method pass:obl
event rais:obj
schedul type:compound
type process:obl
event type:compound
type schedul:compound
schedul pass:nsubj
schedul object:compound
object schedul:dep
specif paramet:amod
dispatch strategi:compound
strategi specif:obl
paramet object:appos
paramet schedul:dep
pass type:acl
listen method:compound
method pass:obl
rais pass:parataxis
event rais:obj
success complet:amod
complet process:obl
current type:amod
transact type:compound
type complet:nmod
event type:compound
type paramet:compound
paramet rais:nsubj
paramet pass:nsubj
listen method:compound
method pass:obl
rais pass:parataxis
event rais:obj
current transact:amod
event type:compound
type paramet:compound
paramet rais:nsubj
paramet pass:nsubj
listen method:compound
method pass:obl
dispatch object:compound
asynchron event:amod
time asynchron:conj
time event:amod
event dispatch:obj
