common superclass:amod
compon superclass:nmod
helper method:compound
helper method:compound
render face:csubj
compon render:obj
facescontext render:obl
cach reponsewrit:compound
reponsewrit facescontext:nmod
face context render:dep
face method:parataxis
context face:obj
render face:advcl
compon render:obl
compon render:obj
render compon:acl
textual represent:amod
represent render:obj
compon represent:nmod
helper class:compound
return class:acl
children return:obj
type children:nmod
implement interfac:compound
interfac class:dep
type class:dep
check type:acl
children check:obl
list check:obj
children list:nmod
search children:acl
child type search:iobj
child type:compound
type child type:dep
list child type:dep
match item:amod
item list:nmod
command return:dep
child children:compound
list children:compound
children return:obl
list search:nsubj
search return:parataxis
command search:obj
worksheet item:compound
item return:dep
cell item:dep
imag cell:appos
hyperlink cell:appos
child children:compound
list children:compound
children item:nmod
list search:nsubj
search return:parataxis
item search:obj
helper method:compound
fetch method:acl
valu fetch:obj
field method:dep
bind field:acl
default valu bind:obl
default valu:compound
valu bind:obj
fall valu:acl
field valu:compound
valu fall:obl
parent workbook:compound
workbook fetch:obj
compon fetch:obl
examin fetch:advcl
workbook examin:obj
class root:compound
root parent:nmod
start root:acl
search start:xcomp
search class search:obj
class root:dep
search class:acl
parent search:obl
