scenario imagin:obj
client call:nsubj
method call:obj
compon call:obl
call compon:acl
foo call:obj
foo attribut:nmod
attribut inject:obj
requir attribut:acl
call requir:xcomp
factori method:compound
method call:obj
bar call:obl
bar method:nmod
factori method:compound
method call:nsubj
turn method:nmod
foo state:nsubj
support state:advcl
method call:compound
call support:obj
process state:advcl
inject depend:amod
depend process:nmod
cyclic depend:amod
depend sort:nmod
seam throw:nsubj
case throw:obl
method run:nsubj
run code:ccomp
complaint run:obl
attribut null:nsubj
depend inject:dep
field inject:nsubj
inject null:advcl
behavior chang:obj
finit result:amod
loop result:compound
result chang:obj
result behavior:conj
