hot deploy filter appli:nsubj
appli critic:ccomp
jsf request:compound
request appli:obl
scan appli:obl
scan request:conj
page request:obl
xml schema:compound
compon descriptor:compound
descriptor schema:nmod
filter recogn:obj
configur element:amod
element recogn:obl
properti url pattern:compound
properti seam:nmod
add chang:dep
hot filter:amod
deploy hot:ccomp
filter element:compound
element add:obj
deploy web:dep
filter deploy:nmod
url deploy:dep
pattern url:nmod
filter move:obj
debug flag:compound
mode flag:compound
flag control:obl
seam control:obl
namespac introduc:obj
hot filter:amod
deploy hot:ccomp
filter add:obj
deploy debug:dep
filter deploy:nmod
url deploy:dep
pattern url:nmod
redeem qualiti:amod
break applic:compound
applic doesn:obj
reli applic:acl
debug mode:compound
mode affect:obj
product app:compound
app mode:appos
