load issu:amod
hear issu:conj
replac nice:advcl
seam compon:compound
compon replac:obl
pluggabl provid:amod
transact provid:compound
manag provid:compound
support pave:obl
spring manag:nsubj
manag pave:advcl
transact hibern:nsubj
jpa transact:compound
local transact:amod
transact hibern:nsubj
true transact:conj
true hibern:nsubj
hibern manag:ccomp
local transact:amod
transact hibern:obj
seam applic:compound
depend run:obl
microcontain depend:nmod
tomcat run:obl
tighter integr:amod
framework integr:compound
spring integr:nmod
initi compon:amod
jta transact compon:compound
replac compon:nmod
spring transact compon:compound
compon creat:obj
proof creat:obl
concept proof:nmod
extend creat:advcl
transact compon:compound
compon extend:obj
transact interact:obl
place transact:nmod
seam applic context:compound
seam transact:compound
transact confin:obj
seam call:compound
call confin:obl
matter simplifi:obj
transact cleanup:compound
transact compon:compound
filter compon:nmod
jta replac:compound
servic abstract:compound
abstract replac:conj
java webapp:compound
enterpris servic:compound
ejb servic:nmod
jca jta:compound
jta servic:nmod
jta ejb:conj
tomcat run:obl
local manag:amod
transact manag:compound
manag resourc:dep
spring abstract:nmod
abstract resourc:dep
jpa abstract:appos
hibern resourc:dep
hibern abstract:conj
problem ton:nmod
worst scenario:amod
case scenario:compound
scenario place:nsubj
issu place:nsubj
great place:amod
document place:dep
refer place:dep
refer document:conj
reject refer:dep
featur request:compound
request reject:obj
